#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/FaisalTamanoJr/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/FaisalTamanoJr/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/FaisalTamanoJr/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/FaisalTamanoJr/dwm.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,calcurse,"is a text-based calendar and scheduling application."
A,gruvbox-dark-gtk,"is a gruvbox dark theme."
A,gruvbox-dark-icons-gtk,"Gruvbox dark icon theme"
,adobe-source-sans-pro-fonts,"a key package"
,enchant,"a key package"
,gst-libav,"a key package"
,gst-plugins-good,"a key package"
,icedtea-web,"a key package"
,languagetool,"a key package"
,libmythes,"a key package"
,mythes-en,"a key package"
,pkgstats,"a key package"
,ttf-anonymous-pro,"a key package"
,ttf-bitstream-vera,"a key package"
,ttf-dejavu,"a key package"
,ttf-droid,"a key package"
,ttf-ubuntu-font-family,"a key package"
,ttf-liberation,"a key package"
,rsync,"for transfering files using ssh"
,pass,"for managing passwords"
,gtk2,"a dependency for pinentry-gtk-2"
,age,"is a simple, modern and secure file encryption tool"
,lsof,"list open files"
,ttf-fira-code, "a programming font with ligature support"
